,Unnamed: 0,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1275919,3393668,1671660000,2022-12-21 22:00:00+00:00,ETH-USD,1211.85,1212.0,1211.54,1211.72,125.3006387
1275979,3393728,1671663600,2022-12-21 23:00:00+00:00,ETH-USD,1209.42,1210.38,1209.02,1210.38,106.0401345
1276039,3393788,1671667200,2022-12-22 00:00:00+00:00,ETH-USD,1213.7,1213.72,1213.09,1213.55,66.28158402
1276099,3393848,1671670800,2022-12-22 01:00:00+00:00,ETH-USD,1217.54,1217.95,1216.83,1216.88,189.4807471
1276159,3393908,1671674400,2022-12-22 02:00:00+00:00,ETH-USD,1212.77,1212.96,1212.26,1212.61,125.01872857
1276219,3393968,1671678000,2022-12-22 03:00:00+00:00,ETH-USD,1214.42,1214.54,1214.29,1214.35,57.71290683
1276279,3394028,1671681600,2022-12-22 04:00:00+00:00,ETH-USD,1214.68,1214.94,1214.6,1214.62,53.05341766
1276339,3394088,1671685200,2022-12-22 05:00:00+00:00,ETH-USD,1211.91,1212.35,1211.86,1211.94,99.91290379
1276399,3394148,1671688800,2022-12-22 06:00:00+00:00,ETH-USD,1211.02,1211.37,1210.79,1211.0,133.93252274
1276459,3394208,1671692400,2022-12-22 07:00:00+00:00,ETH-USD,1211.01,1211.15,1210.72,1210.73,113.01102653
1276519,3394268,1671696000,2022-12-22 08:00:00+00:00,ETH-USD,1213.78,1214.37,1213.69,1213.8,195.28362831
1276579,3394328,1671699600,2022-12-22 09:00:00+00:00,ETH-USD,1215.31,1215.51,1215.23,1215.26,68.42820366
1276639,3394388,1671703200,2022-12-22 10:00:00+00:00,ETH-USD,1218.52,1218.79,1218.06,1218.26,115.33688556
1276699,3394448,1671706800,2022-12-22 11:00:00+00:00,ETH-USD,1217.02,1217.22,1216.95,1217.2,35.16285799
1276759,3394508,1671710400,2022-12-22 12:00:00+00:00,ETH-USD,1217.48,1218.13,1217.48,1218.1,109.99107442
1276819,3394568,1671714000,2022-12-22 13:00:00+00:00,ETH-USD,1215.25,1215.51,1215.09,1215.14,57.23317115
1276879,3394628,1671717600,2022-12-22 14:00:00+00:00,ETH-USD,1210.42,1210.44,1209.67,1210.25,220.38103713
